Mold,Head,Pattern,Throat,Beam,Manufacturer,Name,Owned by Tommi,Tommi wants this,Year,DescriptionTommi,Description,Layup,Made in Austria,Designed in Austria,Info from,Image
VPC_98,98,16x20,3,20/21,Fischer,Vacuum Mid Plus,0,0,1992,,White/Purple/Black,Kevlar / Graphite,1,0,,98-constant/Fischer_Vacuum_MidPLus.PNG
VPC_98,98,16x20,3,20/21,Fischer,Vacuum Pro Classic 98,0,0,1994,,Purple/Gold/Black,SiC Ceramics graphite,0,0,,98-constant/Fischer_Vacuum_Pro_Classic_98.PNG
VPC_98,98,16x20,3,20/21,Fischer,Vacuum Pro Classic 98,0,0,1995,,"Red, black, Yellow P in pro",SiC Ceramics graphite,0,0,,98-constant/Vacuum_Pro_98_Classic_YellowP.jpg
VPC_98,98,16x20,3,20/21,Fischer,Vacuum Pro Classic 98,0,0,1998,,"Blue, red texts",SiC Ceramics graphite,0,0,,98-constant/Vacuum_Pro_Classic_98.jpg
VPC_98,98,16x20,3,20/21,Fischer,Vacuum Pro Classic 98,0,0,1999,,"Silver, red",SiC Ceramics graphite,0,0,,98-constant/Vacuum_Pro_Classic_98_silver2.jpg
VPC_98,98,16x20,3,20/21,Fischer,Pro Classic Air Carbon Ti,0,0,2000,,Yellow/Silver,Air-Carbon titanium,0,0,,98-constant/Pro_Classic_AirCarbon_Ti_98.PNG
VPC_98,98,16x20,3,20/21,Fischer,Vacuum Pro Classic 98,0,0,2004,,"Silver, red",SiC Ceramics graphite,0,0,,98-constant/2005_Retro_3.jpg
VPC_98,98,16x20,3,20/21,Pacific,X Tour Pro 97,1,0,2015,Modern iteration of Fischer classic. Got this from my French buddy in exchange.,Black/Orange,,0,0,,98-constant/Pacific_X_Tour_Pro_97.PNG
VPC_98_XL,98,16x20,3,20/21,Fischer,Revolution Pro Classic 98 +1.5cm,0,0,1998,,"Yellow, black text",,0,0,TW,98-constant/Fischer_Vacuum_Pro_Classic_98_+1.5cm_2000.PNG
VP_No1_98,98,16x20,4,21/23/25,Fischer,Vacuum Pro Mid Plus,0,0,1992,,"Fishnet,purple/blue/yellow/Purple text",SiC Ceramics graphite,0,0,,98-tapered/Fischer_Vacuum_Pro_Mid_Plus.PNG
VP_No1_98,98,16x20,4,21/23/25,Fischer,Vacuum Pro Mid Plus,1,0,1993,"Famous racket from 1993, that is just too heavy to play,","Fishnet,purple/blue/yellow/Purple text (White Pro, strange Vacuum)",SiC Ceramics graphite,0,0,,98-tapered/Vacuum_Pro_mid_plus_my.JPG
VP_No1_98,98,16x20,4,21/23/25,Fischer,Vacuum Pro MP,0,0,1995,,"Fishnet,purple/blue/yllow/Black text background",SiC Ceramics graphite,0,0,,98-tapered/Fischer_Vacuum_Pro_MP.PNG
VP_No1_98,98,16x20,4,21/23/25,Fischer,Vacuum Pro 98,0,0,1996,,"Fishnet, Wine red",SiC Ceramics graphite,0,0,,98-tapered/Vacuum_Pro_98_WineRed.jpg
VP_No1_98,98,16x20,4,21/23/25,Fischer,VT Pro 98,0,0,1998,,"Red, Yellow text, black hoop",SiC Ceramics graphite,0,0,TW,98-tapered/Fischer_VT_Pro_98_1999.jfif
VP_No1_98,98,16x20,4,21/23/25,Fischer,Pro Number One,0,0,2001,,Red/Silver,SiC Ceramics graphite,0,0,,98-tapered/Fischer_Pro_Number_One.png
VP_No1_98,98,16x20,4,21/23/25,Fischer,Pro Number One,0,0,2002,,Black/red/white,SiC Ceramics graphite,0,0,,98-tapered/Fischer_Pro_1_Number_One.jpg
VP_No1_98,98,16x20,4,21/23/25,Fischer,Pro Number One,0,0,2003,,Black/Red,SiC Ceramics graphite,0,0,,98-tapered/Fischer_Pro_Number_One_red_black.png
VP_No1_98,98,16x20,4,21/23/25,Fischer,Pro 1 X-Lite,0,0,2007,,Black/yellow/wine,Air carbon,0,0,,98-tapered/2007_Pro_No_1_XLite_3.jpg
VP_No1_98,98,16x20,4,21/23/25,Gamma,Gamma T6,0,0,2008,,Black/red,,0,0,,98-tapered/Gamma_T6.jpg
